name,role,specialty,sub_specialty
John Smith,Surgeon,General Surgery,Minimally Invasive
Sarah Johnson,Surgeon,Orthopedics,Joint Replacement
Michael Brown,Surgeon,OBGYN,Gynecologic Surgery
David Wilson,Surgeon,Cardiac,Adult Cardiac
Emily Davis,Surgeon,Cath Lab,Interventional
James Anderson,Anesthesiologist,General Surgery,
Lisa Thompson,Anesthesiologist,Orthopedics,
Robert Martin,Anesthesiologist,OBGYN,
Patricia White,Anesthesiologist,Cardiac,
Thomas Taylor,Anesthesiologist,Cath Lab,
Mary Garcia,Nurse,General Surgery,
William Miller,Nurse,Orthopedics,
Jennifer Lee,Nurse,OBGYN,
Richard Moore,Nurse,Cardiac,
Susan Clark,Nurse,Cath Lab,
